article,name,description,price,amount,image,category,tags
1,Снег,"Кристалы воды, пригодные для охлаждения и добычи воды",80,2,images\sneg.jpg,Кристалы ,"лучшая цена, жизнено необходимо, холод, вода"
2,Вода,Живительная влага необходимая для всех организмов,50,56,images\voda.jpg,Жидкость,"лучшая цена, жизнено необходимо, вода"
3,Солнечный свет,"Направленная энергия солнца, необходима для фотосинтеза",100,3,images\svet.jpg,Энергия,"жизнено необходимо, фотоны, энергия"
4,Космическая пыль,Мелкие частички астеройдов,200,2,images\pil.jpg,Пыль и песок,Из просторов галактики
5,Антиматерия,Вещество состоящее из античастиц не образующееся в стабильном состоянии в природе,1800,63,images\animat.jpg,Антиматерии,В хозяйстве пригодится
6,Магний,"Легкий, ковкий метал.",250,3,images\mg.jpg,Кристалы ,Элемент
7,Водяной пар,"Газообразная форма воды, охлодить для получения воды",45,26,images\par.jpg,Газ,"лучшая цена, жизнено необходимо, вода"
8,Фотоны синих гигантов,Усиленная направленная энергия для фотосинтеза,280,778,images\blue_svet.jpg,Энергия,"жизнено необходимо, фотоны, энергия"
9,Стронций, химический элемент с атомным номером 38[4]. Принадлежит к 2-й группе периодической таблицы химических элементов,680,48,images\strong.jpg,Кристалы ,"Элемент, В хозяйстве пригодится"
10,Сера," элемент 16-й группы (по устаревшей классификации — главной подгруппы VI группы), третьего периода периодической системы химических элементов Д. И. Менделеева, с атомным номером 16.",350,34,images\sera.jpg,Кристалы ,Элемент
